Customer_ID,Date,Usage_kWh,Peak_Demand_kWh,Total_Charge,Energy_Type
CUST000001,2024-01-06,657.89,174.74,239.64,"13% renewable, 86% non-renewable"
CUST000001,2024-02-01,484.44,150.23,181.89,"24% renewable, 75% non-renewable"
CUST000001,2024-03-03,305.58,85.69,118.9,"20% renewable, 79% non-renewable"
CUST000001,2024-04-01,406.72,126.57,152.87,"12% renewable, 87% non-renewable"
CUST000001,2024-05-02,325.16,87.78,125.69,"20% renewable, 79% non-renewable"
CUST000001,2024-06-01,194.8,60.53,79.78,"13% renewable, 86% non-renewable"
CUST000001,2024-07-02,272.76,71.52,107.41,"19% renewable, 80% non-renewable"
CUST000001,2024-08-01,252.15,69.56,100.58,"23% renewable, 76% non-renewable"
CUST000001,2024-09-01,380.08,131.87,153.7,"78% renewable, 21% non-renewable"
CUST000001,2024-10-02,260.22,80.61,103.93,"28% renewable, 71% non-renewable"
CUST000001,2024-11-01,486.73,162.02,181.33,"17% renewable, 82% non-renewable"
CUST000001,2024-12-02,475.66,125.62,179.18,"26% renewable, 73% non-renewable"
CUST000001,2025-01-01,414.42,132.9,157.48,"24% renewable, 75% non-renewable"
CUST000001,2025-02-01,610.45,174.5,223.06,"12% renewable, 87% non-renewable"
CUST000001,2025-03-04,364.77,102.54,144.73,"56% renewable, 43% non-renewable"
CUST000001,2025-04-01,498.26,168.77,194.58,"63% renewable, 36% non-renewable"
CUST000001,2025-05-02,439.83,143.87,165.54,"19% renewable, 80% non-renewable"
CUST000001,2025-06-01,254.69,64.32,103.72,"45% renewable, 54% non-renewable"
CUST000001,2025-07-02,283.68,96.67,114.9,"52% renewable, 47% non-renewable"
CUST000001,2025-08-01,283.41,77.34,110.17,"11% renewable, 88% non-renewable"
CUST000001,2025-09-01,364.31,114.15,140.36,"27% renewable, 72% non-renewable"
CUST000001,2025-10-02,339.85,115.3,137.15,"66% renewable, 33% non-renewable"
CUST000001,2025-11-01,414.31,137.47,157.87,"27% renewable, 72% non-renewable"
CUST000001,2025-12-02,425.1,124.02,159.49,"14% renewable, 85% non-renewable"
CUST000001,2026-01-01,554.16,167.29,206.25,"24% renewable, 75% non-renewable"
CUST000002,2024-01-06,470.0,162.73,175.13,"15% renewable, 84% non-renewable"
CUST000002,2024-02-01,269.74,83.88,111.24,"65% renewable, 34% non-renewable"
CUST000002,2024-03-03,336.03,114.53,128.74,"14% renewable, 85% non-renewable"
CUST000002,2024-04-01,394.42,125.12,150.59,"25% renewable, 74% non-renewable"
CUST000002,2024-05-02,287.36,82.41,112.81,"22% renewable, 77% non-renewable"
CUST000002,2024-06-01,305.69,86.23,122.47,"49% renewable, 50% non-renewable"
